Date,Day_of_the_week,App,Minutes,Category
9/3,Sunday,GOOGLE,17,Other
9/3,Sunday,INSTAGRAM,12,Social Media
9/3,Sunday,YOUTUBE,9,Entertainment
9/3,Sunday,APPLE MUSIC,9,Entertainment
9/3,Monday,DISCORD,87,Social Media
9/3,Monday,INSTAGRAM,54,Social Media
9/4,Monday,GOOGLE,29,Other
9/4,Monday,SPOTIFY,14,Entertainment
9/4,Monday,DISCORD,36,Social Media
9/4,Monday,INSTAGRAM,31,Social Media
9/5,Tuesday,DISCORD,112,Social Media
9/5,Tuesday,INSTAGRAM,21,Social Media
9/5,Tuesday,GOOGLE,20,Other
9/5,Tuesday,SETTINGS,16,Other
9/5,Tuesday,SPOTIFY,15,Entertainment
9/6,Wednesday,GOOGLE,72,Other
9/6,Wednesday,MESSAGES ,30,Social Media
9/6,Wednesday,INSTAGRAM,14,Social Media
9/6,Wednesday,DISCORD,7,Social Media
9/6,Wednesday,YOUTUBE,2,Entertainment
9/6,Wednesday,APPLE MUSIC,2,Entertainment
9/7,Thursday,YOUTUBE,155,Entertainment
9/7,Thursday,DISCORD,121,Social Media
9/7,Thursday,INSTAGRAM,77,Social Media
9/7,Thursday,GOOGLE,31,Other
9/7,Thursday,SPOTIFY,8,Entertainment
9/7,Thursday,SETTINGS,3,Other
9/8,Friday,YOUTUBE,79,Entertainment
9/8,Friday,INSTAGRAM,61,Social Media
9/8,Friday,DISCORD,56,Social Media
9/8,Friday,SPOTIFY,34,Entertainment
9/8,Friday,APPLE MUSIC,12,Entertainment
9/9,Saturday,DISCORD,143,Social Media
9/9,Saturday,INSTAGRAM,53,Social Media
9/9,Saturday,SPOTIFY,47,Entertainment
9/9,Saturday,YOUTUBE,16,Entertainment